link_site,categoryOrigin,categoryNew
https://www.businessinsider.com/reviews/home/home-decor,Home-decor,life
https://www.businessinsider.com/reviews/home/mattress,Matress,life
https://www.businessinsider.com/reviews/home/office,Office,life
https://www.businessinsider.com/reviews/home/safety,Safety,life
https://www.businessinsider.com/reviews/home/smart-home,Smart-home,life
https://www.businessinsider.com/reviews/home/storage,Storage,life
https://www.businessinsider.com/reviews/home/tools,Tools,life
https://www.businessinsider.com/reviews/kitchen/appliances,Appliances,life
https://www.businessinsider.com/reviews/kitchen/baking,Barking,life
https://www.businessinsider.com/reviews/kitchen/coffee-tea,Coffee-tea,life
https://www.businessinsider.com/reviews/kitchen/cookware,Cookware,life
https://www.businessinsider.com/reviews/kitchen/dining-entertaining,Dining-entertaining,life
https://www.businessinsider.com/reviews/kitchen/food-drink,Food-drink,life
https://www.businessinsider.com/reviews/kitchen/storage,Storage,life
https://www.businessinsider.com/reviews/kitchen/tools,Tools,life
https://www.businessinsider.com/reviews/kitchen/wine-bar,Wine-bar,life
https://www.businessinsider.com/reviews/style/handbags-accessories,Handbags-accessories,life
https://www.businessinsider.com/reviews/style/mens-accessories,Men-accessories,life
https://www.businessinsider.com/reviews/style/mens-clothing,Mens-clothing,life
https://www.businessinsider.com/reviews/style/mens-shoes,Men-shoes,life
https://www.businessinsider.com/reviews/style/womens-clothing,Womens-clothing,life
https://www.businessinsider.com/reviews/style/womens-shoes,Womens-shoes,life
https://www.businessinsider.com/reviews/travel/destinations,Destinations,life
https://www.businessinsider.com/reviews/travel/experiences,Experiences,life
https://www.businessinsider.com/reviews/travel/flights,Flights,life
https://www.businessinsider.com/reviews/travel/hotels,Hotels,life
https://www.businessinsider.com/reviews/travel/luggage-travel-gear,Luggage-travel-gear,life
https://www.businessinsider.com/reviews/travel/rewards,Rewards,life
https://www.businessinsider.com/reviews/travel/transportation,Transportation,life
https://www.businessinsider.com/sai,Tech,business
https://www.businessinsider.com/warroom,Strategy,business
https://www.cnbc.com/2020-elections/?page=1,2020-elections,politic
https://www.cnbc.com/asia-politics/?page=1,Asia-politics,politic
https://www.cnbc.com/china-markets/?page=1,China Markets,business
https://www.cnbc.com/china-politics/?page=1,China-politics,politic
https://www.cnbc.com/congress/?page=1,Congress,politic
https://www.cnbc.com/cybersecurity/?page=1,Cybersecurity,technology
https://www.cnbc.com/defense/?page=1,Defense,politic
https://www.cnbc.com/earnings/?page=1,Earnings,business
https://www.cnbc.com/economy/?page=1,Economy,business
https://www.cnbc.com/energy/?page=1,Energy,business
https://www.cnbc.com/enterprise/?page=1,Enterprise,technology
https://www.cnbc.com/europe-politics/?page=1,Europe-politics,politic
https://www.cnbc.com/finance/?page=1,Finance,business
https://www.cnbc.com/financial-advisors/?page=1,Financial-advisors,business
https://www.cnbc.com/fintech/?page=1,Fintech,business
https://www.cnbc.com/health-and-science/?page=1,Health-and-science,business
https://www.cnbc.com/industrials/?page=1,Industrials,business
https://www.cnbc.com/internet/?page=1,Internet,technology
https://www.cnbc.com/invest-in-you/?page=1,Invest-in-you,business
https://www.cnbc.com/life/?page=1,Life,business
https://www.cnbc.com/media/?page=1,Media,technology
https://www.cnbc.com/mobile/?page=1,Mobile,technology
https://www.cnbc.com/options-action/?page=1,Options-action,business
https://www.cnbc.com/personal-finance/?page=1,Personal-finance,business
https://www.cnbc.com/policy/?page=1,Policy,politic
https://www.cnbc.com/real-estate/?page=1,Real-estate,business
https://www.cnbc.com/retail/?page=1,Retail,business
https://www.cnbc.com/small-business/?page=1,Small-business,business
https://www.cnbc.com/social-media/?page=1,Social-media,technology
https://www.cnbc.com/tech-guide/?page=1,Tech-guide,technology
https://www.cnbc.com/trader-talk/?page=1,Trader-talk,business
https://www.cnbc.com/trading-nation/?page=1,Trading-nation,business
https://www.cnbc.com/transportation/?page=1,Transportation,business
https://www.cnbc.com/venture-capital/?page=1,Venture-capital,technology
https://www.cnbc.com/wealth/?page=1,Wealth,business
https://www.cnbc.com/white-house/?page=1,White-house,politic
https://www.cnbc.com/world-markets/?page=1,World Markets,business
https://www.foxnews.com/api/article-search?isCategory=true&searchSelected=fox-news%2Fauto&size=20&offset=0,Car-Trucks,life
https://www.foxnews.com/api/article-search?isCategory=true&searchSelected=fox-news%2Ffood-drink&size=20&offset=0,Food-drink,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fcolumns%2Ffox-news-poll&size=20&offset=0,Poll,politic
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fentertainment%2Fcelebrity-news&size=20&offset=0,Celevrity-news,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fentertainment%2Fmovies&size=20&offset=0,Movies,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fentertainment%2Fmusic&size=20&offset=0,Music,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fentertainment%2Fstyle&size=20&offset=0,Style,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fentertainment%2Ftv&size=20&offset=0,TV News,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ffaith-values%2Ffaith&size=20&offset=0,Faith,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ffitness-and-wellbeing&size=20&offset=0,Fitness Well-being,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fcancer&size=20&offset=0,Cancer,health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fhealthy-living&size=20&offset=0,Healthy-Living,health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fhealthy-living%2Fchildrens-health&size=20&offset=0,Childrens-health,health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fheart-health&size=20&offset=0,Heart-health,health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Finfectious-disease%2Fcoronavirus&size=20&offset=0,Coronavirus,health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fmedical-research&size=20&offset=0,Medical-research,health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fhealth%2Fmental-health&size=20&offset=0,Mental-health,health
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fnews-events%2Ffox-news-investigates&size=20&offset=0,Fox-news-investigates,business
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Felections&size=20&offset=0,Elections,politic
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fexecutive&size=20&offset=0,Executive,politic
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fforeign-policy&size=20&offset=0,Foreign-policy,politic
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fhouse-of-representatives&size=20&offset=0,House-of-representatives,politic
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fjudiciary&size=20&offset=0,Judiciary,politic
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fpolitics%2Fsenate&size=20&offset=0,Senate,politic
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Freal-estate&size=20&offset=0,House+Home,business
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fair-and-space&size=20&offset=0,Air and space,science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Farchaeology&size=20&offset=0,Archaology,science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Farchaeology%2Fdinosaurs&size=20&offset=0,Dinosaur,science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fnatural-science&size=20&offset=0,Natural-science,science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fplanet-earth&size=20&offset=0,Planet-earth,science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fscience%2Fwild-nature&size=20&offset=0,Wild-nature,science
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fstyle-and-beauty&size=20&offset=0,Style and Beauty,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftechnologies%2Fdrones&size=20&offset=0,Drones,technology
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fcomputers&size=20&offset=0,Computers,technology
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Finnovation&size=20&offset=0,Innovation,technology
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fmilitary-tech&size=20&offset=0,Military-tech,technology
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fsecurity&size=20&offset=0,Security,technology
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Ftech%2Ftopics%2Fvideo-games&size=20&offset=0,Video-games,technology
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Feconomy&size=20&offset=0,Economy,business
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Feducation&size=20&offset=0,Education,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Fimmigration&size=20&offset=0,Immigration,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Fpersonal-freedoms&size=10&offset=0,Personal-freedoms,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fus%2Fterror&size=20&offset=0,Terror,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fconflicts&size=20&offset=0,Conflict,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fdisasters&size=20&offset=0,Disaster,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fenvironment&size=20&offset=0,Environment,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fglobal-economy&size=20&offset=0,Global-economy,business
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Freligion&size=20&offset=0,Religion,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fscandals&size=20&offset=0,Scandals,life
https://www.foxnews.com/api/article-search?isTag=true&searchSelected=fox-news%2Fworld%2Fterrorism&size=20&offset=0,Terrorism,life
https://www.globaltimes.cn/china/diplomacy/?page=1,Diplomacy,politic
https://www.globaltimes.cn/china/military/?page=1,Military,politic
https://www.globaltimes.cn/china/odd/?page=1,Odd,life
https://www.globaltimes.cn/china/politics/?page=1,Politics,politic
https://www.globaltimes.cn/china/science/?page=1,Science,science
https://www.globaltimes.cn/china/society/?page=1,Society,life
https://www.globaltimes.cn/In-depth/?page=1,In-depth,life
https://www.globaltimes.cn/life/culture/?page=1,Culture,life
https://www.globaltimes.cn/life/entertainment/?page=1,Entertainment,life
https://www.globaltimes.cn/life/learning-chinese/?page=1,Learning-chinese,life
https://www.globaltimes.cn/life/travel/?page=1,Travel,life
https://www.globaltimes.cn/opinion/asian-review/?page=1,Asian-review,opinion
https://www.globaltimes.cn/opinion/cartoon/?page=1,Cartoon,opinion
https://www.globaltimes.cn/opinion/columnists/?page=1,Columnists,opinion
https://www.globaltimes.cn/opinion/editorial/?page=1,Editorial,opinion
https://www.globaltimes.cn/opinion/observer/?page=1,Observer,opinion
https://www.globaltimes.cn/opinion/top-talk/?page=1,Top-talk,opinion
https://www.globaltimes.cn/opinion/viewpoint/?page=1,Viewpoint,opinion
https://www.globaltimes.cn/photo/gallery/?page=1,Gallery,life
https://www.globaltimes.cn/source/comments/?page=1,Comments,life
https://www.globaltimes.cn/source/company/?page=1,Company,life
https://www.globaltimes.cn/source/economy/?page=1,Economy,business
https://www.globaltimes.cn/source/graphic/?page=1,Graphic,life
https://www.globaltimes.cn/source/gt-voice/?page=1,Gt-voice,life
https://www.globaltimes.cn/source/initiative/?page=1,Initiative,life
https://www.globaltimes.cn/source/insight/?page=1,Insight,life
https://www.globaltimes.cn/sport/?page=1,Sport,sports
https://www.globaltimes.cn/world/africa/?page=1,Africa,world
https://www.globaltimes.cn/world/asia-pacific/?page=1,Asia-pacific,world
https://www.globaltimes.cn/world/cross-borders/?page=1,Cross-borders,world
https://www.globaltimes.cn/world/europe/?page=1,Europe,world
https://www.globaltimes.cn/world/eye-on-world/?page=1,Eye-on-world,world
https://www.globaltimes.cn/world/mid-East/?page=1,Mid-East,world
https://www.insider.com/beauty,Beauty,life
https://www.insider.com/culture,Culture,life
https://www.insider.com/entertainment,Entertainment,life
https://www.insider.com/food,Food,life
https://www.insider.com/health,Health,life
https://www.insider.com/opinion,Opinion,opinion
https://www.insider.com/parenting,Parenting,life
https://www.insider.com/politics,Politics,politic
https://www.insider.com/sports,Sports,sports
https://www.insider.com/style,Style,life
https://www.insider.com/travel,Travel,life
https://www.japantimes.co.jp/community/how-tos/page/1/,How-tos,life
https://www.japantimes.co.jp/community/issues/page/1/,Issues,life
https://www.japantimes.co.jp/community/our-lives/page/1/,Our-lives,life
https://www.japantimes.co.jp/community/voices/page/1/,Voices,life
https://www.japantimes.co.jp/culture/arts/page/1/,Arts,life
https://www.japantimes.co.jp/culture/books/page/1/,Books,life
https://www.japantimes.co.jp/culture/films/page/1/,Films,life
https://www.japantimes.co.jp/culture/music/page/1/,Music,life
https://www.japantimes.co.jp/culture/stage/page/1/,Stage,life
https://www.japantimes.co.jp/culture/tv/page/1/,TV,life
https://www.japantimes.co.jp/life/digital/page/1/,Digital,life
https://www.japantimes.co.jp/life/environment/page/1/,Environment,life
https://www.japantimes.co.jp/life/food/page/1/,Food,life
https://www.japantimes.co.jp/life/language/page/1/,Language,life
https://www.japantimes.co.jp/life/lifestyle/page/1/,Lifestyle,life
https://www.japantimes.co.jp/life/people/page/1/,People,life
https://www.japantimes.co.jp/life/style/page/1/,Style,life
https://www.japantimes.co.jp/life/travel/page/1/,Travel,life
https://www.japantimes.co.jp/news/asia-pacific/page/1/,Asia-pacific,world
https://www.japantimes.co.jp/news/business/page/1,Buniess,sports
https://www.japantimes.co.jp/news/national/page/1/,National,world
https://www.japantimes.co.jp/news/reference/page/1/,Reference,world
https://www.japantimes.co.jp/news/world/page/1/,World,world
https://www.japantimes.co.jp/opinion/commentary/page/1/,Commentary,opinion
https://www.japantimes.co.jp/opinion/editorials/page/1/,Editorials,opinion
https://www.japantimes.co.jp/opinion/reader-mail/page/1/,Reader-mail,opinion
https://www.japantimes.co.jp/sports/baseball/page/1/,Baseball,sports
https://www.japantimes.co.jp/sports/basketball/page/1/,Basketball,sports
https://www.japantimes.co.jp/sports/figure-skating/page/1/,Figure-Skating,sports
https://www.japantimes.co.jp/sports/more-sports/page/1/,More-sports,sports
https://www.japantimes.co.jp/sports/olympics/page/1/,Olympics,sports
https://www.japantimes.co.jp/sports/rugby/page/1/,Rugby,sports
https://www.japantimes.co.jp/sports/soccer/page/1/,Soccer,sports
https://www.japantimes.co.jp/sports/sumo/page/1/,Sumo,sports
https://www.japantimes.co.jp/sports/tennis/page/1/,Tennis,sports
https://www.reuters.com/news/archive/aerospace-defense?view=page&page=1&pageSize=10,Aerospace,business
https://www.reuters.com/news/archive/americas-test-2?view=page&page=1&pageSize=10,Americas,world
https://www.reuters.com/news/archive/autos-upclose?view=page&page=1&pageSize=10,Autos,business
https://www.reuters.com/news/archive/bank-news?view=page&page=1&pageSize=10,Finance,business
https://www.reuters.com/news/archive/baseball-mlb?view=page&page=1&pageSize=10,Baseball,sports
https://www.reuters.com/news/archive/basketball-nba?view=page&page=1&pageSize=10,Basketball,sports
https://www.reuters.com/news/archive/bigstory13?view=page&page=1&pageSize=10,Reuters Next,business
https://www.reuters.com/news/archive/change-suite?view=page&page=1&pageSize=10,Change Suite,business
https://www.reuters.com/news/archive/china-news?view=page&page=1&pageSize=10,China-news,world
https://www.reuters.com/news/archive/domesticnews?view=page&page=1&pageSize=10,Domestic-news,world
https://www.reuters.com/news/archive/environmentnews?view=page&page=1&pageSize=10,Environment,business
https://www.reuters.com/news/archive/esgnews?view=page&page=1&pageSize=10,Sustainable Business,business
https://www.reuters.com/news/archive/esports?view=page&page=1&pageSize=10,Esports,sports
https://www.reuters.com/news/archive/football-nfl?view=page&page=1&pageSize=10,Football,sports
https://www.reuters.com/news/archive/greatreboot?view=page&page=1&pageSize=10,Greatreboot,world
https://www.reuters.com/news/archive/healthnews?view=page&page=1&pageSize=10,Healthcare,business
https://www.reuters.com/news/archive/icehockey-nhl?view=page&page=1&pageSize=10,Icehockey,sports
https://www.reuters.com/news/archive/india-only?view=page&page=1&pageSize=10,India,world
https://www.reuters.com/news/archive/marketsNews?view=page&page=1&pageSize=10,Markets,business
https://www.reuters.com/news/archive/mcbreakingviews?view=page&page=1&pageSize=10,BreakingViews,life
https://www.reuters.com/news/archive/middle-east?view=page&page=1&pageSize=10,Middle-East,world
https://www.reuters.com/news/archive/oddlyenoughnews?view=page&page=1&pageSize=10,Oddly Enough,life
https://www.reuters.com/news/archive/personalfinance?view=page&page=1&pageSize=10,Personal-finance,business
https://www.reuters.com/news/archive/politicsnews?view=page&page=1&pageSize=10,Politic-news,politic
https://www.reuters.com/news/archive/rcom-apac?view=page&page=1&pageSize=10,Rcom-apac,world
https://www.reuters.com/news/archive/rcom-europe?view=page&page=1&pageSize=10,Europe,world
https://www.reuters.com/news/archive/rcom-media-telecoms?view=page&page=1&pageSize=10,Media & Telecoms,business
https://www.reuters.com/news/archive/rcomus_energy?view=page&page=1&pageSize=10,Energy,business
https://www.reuters.com/news/archive/retail?view=page&page=1&pageSize=10,Retail,business
https://www.reuters.com/news/archive/sciencenews?view=page&page=1&pageSize=10,Science,science
https://www.reuters.com/news/archive/soccer-brazil?view=page&page=1&pageSize=10,Soccer-Brazil,sports
https://www.reuters.com/news/archive/soccer-champions?view=page&page=1&pageSize=10,Soccer-Champion,sports
https://www.reuters.com/news/archive/soccer-england?view=page&page=1&pageSize=10,Soccer-England,sports
https://www.reuters.com/news/archive/soccer-france?view=page&page=1&pageSize=10,Soccer-France,sports
https://www.reuters.com/news/archive/soccer-germany?view=page&page=1&pageSize=10,Soccer-Germany,sports
https://www.reuters.com/news/archive/soccer-italy?view=page&page=1&pageSize=10,Soccer-Italy,sports
https://www.reuters.com/news/archive/soccer-mexico?view=page&page=1&pageSize=10,Soccer-Mexico,sports
https://www.reuters.com/news/archive/soccer-spain?view=page&page=1&pageSize=10,Soccer,sports
https://www.reuters.com/news/archive/soccer-usa?view=page&page=1&pageSize=10,Soccer-USA,sports
https://www.reuters.com/news/archive/sport-athletics?view=page&page=1&pageSize=10,Athletics,sports
https://www.reuters.com/news/archive/sport-cricket?view=page&page=1&pageSize=10,Cricket,sports
https://www.reuters.com/news/archive/sport-f1?view=page&page=1&pageSize=10,F1,sports
https://www.reuters.com/news/archive/sport-golf?view=page&page=1&pageSize=10,Golf,sports
https://www.reuters.com/news/archive/sport-nascar?view=page&page=1&pageSize=10,Nascar,sports
https://www.reuters.com/news/archive/sport-sailing?view=page&page=1&pageSize=10,Sailing,sports
https://www.reuters.com/news/archive/sport-tennis?view=page&page=1&pageSize=10,Tennis,sports
https://www.reuters.com/news/archive/technologynews?view=page&page=1&pageSize=10,Technology,technology
https://www.reuters.com/news/archive/ukdomestic?view=page&page=1&pageSize=10,Ukdomestic,world
